Date,coin,daily_return,sp500_return,rolling_corr_sp500_90d
2020-01-03,ADA,0.0436322232876418,-0.007059870562045378,
2020-01-06,ADA,0.0734714061611641,0.0035333728907271933,
2020-01-07,ADA,-0.0060367055847172,-0.0028032386528962228,
2020-01-08,ADA,-0.0165195066169727,0.004902451368978156,
2020-01-09,ADA,-0.0020858966963259,0.006655262605488987,
2020-01-10,ADA,0.014164278955679,-0.002855178689662563,
2020-01-13,ADA,-0.0192093132853607,0.006976215252569862,
2020-01-14,ADA,0.1269815483949652,-0.001514532772802224,
2020-01-15,ADA,0.0214354421761346,0.0018701968845122874,
2020-01-16,ADA,-0.0273071227956449,0.00836655302646827,
2020-01-17,ADA,0.0866613529236204,0.003862162248501333,
2020-01-21,ADA,0.0482300816952006,-0.0026519776473655776,
2020-01-22,ADA,-0.0072843606172439,0.0002890760711180551,
2020-01-23,ADA,-0.0508169951706837,0.0011409766124783616,
2020-01-24,ADA,0.0385378506311069,-0.009042160974207403,
2020-01-27,ADA,0.0747179710140808,-0.015730711659182384,
2020-01-28,ADA,0.103210022641603,0.010053584595046017,
2020-01-29,ADA,0.0124297565674311,-0.0008668741908683941,
2020-01-30,ADA,0.0477632003497379,0.003134358792605374,
2020-01-31,ADA,-0.0406099829010042,-0.01770582037552626,
2020-02-03,ADA,0.0217149387489428,0.007254613892351713,
2020-02-04,ADA,-0.0172519663705902,0.014980414164082134,
2020-02-05,ADA,0.0577719363419499,0.01125059589785371,
2020-02-06,ADA,0.008880544915943,0.003325672876785646,
2020-02-07,ADA,0.0005522134733342,-0.005400853672730133,
2020-02-10,ADA,-0.0228930960592592,0.007326397804890528,
2020-02-11,ADA,0.0469252476469277,0.0016884725532351208,
2020-02-12,ADA,0.0813721473350217,0.006462646466197652,
2020-02-13,ADA,0.0030421051014251,-0.0016304457368023773,
2020-02-14,ADA,0.0291479888831736,0.0018435333204338544,
2020-02-18,ADA,0.0425535083135606,-0.002919942636890105,
2020-02-19,ADA,-0.079109201110689,0.004705785881164548,
2020-02-20,ADA,0.0106687608512934,-0.00381551976362815,
2020-02-21,ADA,0.0065224550084563,-0.01051810302712286,
2020-02-24,ADA,-0.0414567090200663,-0.03351362667122315,
2020-02-25,ADA,-0.0440298240583741,-0.030279995565056117,
2020-02-26,ADA,-0.1226136965687459,-0.0037785406053220116,
2020-02-27,ADA,0.0046913209921337,-0.04416324258407911,
2020-02-28,ADA,-0.0215155846617478,-0.008238340444361891,
2020-03-02,ADA,0.0657711814252601,0.046039229006110016,
2020-03-03,ADA,-0.0039221592178992,-0.028107896121075893,
2020-03-04,ADA,0.004983505079499,0.04220259077449118,
2020-03-05,ADA,0.0418945401660333,-0.033922077046888544,
2020-03-06,ADA,0.0076580884372852,-0.01705385200037013,
2020-03-09,ADA,-0.0417869140085322,-0.07596969747745097,
2020-03-10,ADA,0.0003133295734973,0.04939630628156144,
2020-03-11,ADA,-0.0444873019174802,-0.048868445131273974,
2020-03-12,ADA,-0.3956719959237819,-0.09511268097833658,
2020-03-13,ADA,0.186803538940254,0.09287124972971839,
2020-03-16,ADA,-0.1105826061496556,-0.11984055240393443,
2020-03-17,ADA,0.0465154727891714,0.05995484974402432,
2020-03-18,ADA,0.0036841901762032,-0.051830762729157875,
2020-03-19,ADA,0.2018866708017905,0.0047078080405855705,
2020-03-20,ADA,-0.0355653226864075,-0.04335951230846191,
2020-03-23,ADA,0.0735723181320133,-0.02929386782180443,
2020-03-24,ADA,0.0371707290204226,0.09382773976227554,
2020-03-25,ADA,-0.0240360457629124,0.011535011448221999,
2020-03-26,ADA,0.0437869667483847,0.062414163303876835,
2020-03-27,ADA,-0.0464086993836777,-0.033687352562252526,
2020-03-30,ADA,0.0574888042818739,0.03351600948370015,
2020-03-31,ADA,0.0227630160846685,-0.016012721914555605,
2020-04-01,ADA,0.0098844621084015,-0.04414243033166543,
2020-04-02,ADA,0.0365905486409072,0.02282934723487151,
2020-04-03,ADA,0.0097235616680879,-0.015137125124949469,
2020-04-06,ADA,0.1128956294801122,0.07033131865275055,
2020-04-07,ADA,-0.0134489509389414,-0.0016030527844311804,
2020-04-08,ADA,0.0334973950958727,0.03405645287963033,
2020-04-09,ADA,-0.0031943077349988,0.014487410153376512,
2020-04-13,ADA,-0.0206767607054713,-0.010104660822607414,
2020-04-14,ADA,-0.0040172866425473,0.030572589146256046,
2020-04-15,ADA,-0.0336932353344239,-0.022030438529415775,
2020-04-16,ADA,0.0798731790207563,0.005816689462164515,
2020-04-17,ADA,0.0047954127219624,0.026793594848223412,
2020-04-20,ADA,-0.0457615980555597,-0.01788104803401469,
2020-04-21,ADA,0.0153026072016877,-0.030674795694063395,
2020-04-22,ADA,0.0535735412052562,0.022930247703843776,
2020-04-23,ADA,0.1106704360787518,-0.0005394221197431159,
2020-04-24,ADA,0.0311045446430215,0.013918057304545428,
2020-04-27,ADA,0.015737096597391,0.014714069804799612,
2020-04-28,ADA,0.0127464544352013,-0.005242380698498916,
2020-04-29,ADA,0.0953491215552915,0.026583916282167053,
2020-04-30,ADA,-0.0744559379123585,-0.009212446303987654,
2020-05-01,ADA,0.0713538758676248,-0.028059034078492195,
2020-05-04,ADA,0.0150217621402553,0.004249827591976452,
2020-05-05,ADA,-0.0061613861464849,0.009040556385797371,
2020-05-06,ADA,0.0082863898292426,-0.006979410390386298,
2020-05-07,ADA,0.026905374090882,0.011504630788313985,
2020-05-08,ADA,0.0234219634538705,0.016871538638701944,
2020-05-11,ADA,0.0090400233720433,0.00013307822091168653,
2020-05-12,ADA,0.0480793049779795,-0.020500317528877154,0.525890498371737
2020-05-13,ADA,0.0208445144008215,-0.01746272460422804,0.5260760414946416
2020-05-14,ADA,-0.0113071591260273,0.01152482269503552,0.5248044108675948
2020-05-15,ADA,-0.0083906511242485,0.0039263632504382695,0.5240282687063111
2020-05-18,ADA,0.0566581064006683,0.03150119163168075,0.5284545080981948
2020-05-19,ADA,0.0404962247204587,-0.010484399194493177,0.5272275471806088
2020-05-20,ADA,0.0075466677595255,0.01665110025908012,0.5259191933539588
2020-05-21,ADA,-0.0813890266018143,-0.007773596407737116,0.5256210734794248
2020-05-22,ADA,0.0686559742294279,0.002353711326488428,0.5331288157627924
2020-05-26,ADA,-0.0107570683162585,0.012289184036080147,0.5308728238080338
2020-05-27,ADA,0.0328093291367643,0.014827297215913804,0.5344466706430266
2020-05-28,ADA,0.1699073399619812,-0.0021079145460738413,0.5198516426151412
2020-05-29,ADA,0.0015644615637091,0.004812335824971425,0.5205329553117697
2020-06-01,ADA,0.0916720385892608,0.003751234813537785,0.5187552515399948
2020-06-02,ADA,-0.0334122286339,0.008210832780053412,0.5182189539207008
2020-06-03,ADA,0.0890052654340582,0.013648979133831007,0.5210037208665589
2020-06-04,ADA,0.0416789187601607,-0.0033687022311144066,0.5274720631213158
2020-06-05,ADA,-0.0399775544984848,0.026211650818398713,0.5180128653211343
2020-06-08,ADA,-0.0025850128751953,0.012041579421169235,0.5166642322042149
2020-06-09,ADA,-0.0349762655513528,-0.007799170822611612,0.5173299614171829
2020-06-10,ADA,0.0014866859293569,-0.0053130910724373814,0.5153702389929368
2020-06-11,ADA,-0.0978199664072291,-0.05894405927443824,0.5297388697400817
2020-06-12,ADA,0.0556528511916578,0.013060843963234703,0.5340193338438992
