return,volatility,sharpe_ratio,ADA,BNB,BTC,DOGE,DOT,ETH,LTC,SOL,XRP
0.5699179586094448,0.6700289486413352,0.8505870675664201,0.10454144696003027,0.08760749848822658,0.16064577368310765,0.1866593434587576,0.09476176106269057,0.06927262649392127,0.13584519649455187,0.05631447035196465,0.10435188300674945
0.584450427399672,0.6648057157811168,0.8791296667974178,0.13051090825970363,0.129473866849483,0.03796210825517704,0.11219851494380219,0.11734548499757091,0.1129415578207094,0.09981659998794226,0.16216417471775524,0.09758678416785628
0.5127569768989234,0.6462204589483823,0.79347066438186,0.05981506781697975,0.13026483529409535,0.10245524044076214,0.12162235046048303,0.17819359727583658,0.08305083096142311,0.19511161923923415,0.07045431822488327,0.05903214028630256
0.5185030502475158,0.6304578908675369,0.8224229686998341,0.05483178651281943,0.15866460586093753,0.12225484410299378,0.01602898235717964,0.19020529302594164,0.08217365718058636,0.04541167783499777,0.15322607074547598,0.17720308237906793
0.5401109592780567,0.6490825722561134,0.8321144063392617,0.025251490434746712,0.0808824960387044,0.12197853483823663,0.1413980742895361,0.1213772973043092,0.14496556666666766,0.14829774204270293,0.05685289476375481,0.15899590362134175
0.42824345633077165,0.6267678795119959,0.6832568648288164,0.13004952865137537,0.029447285354642787,0.10904456015700024,0.02119685952677196,0.16098108387394497,0.21643032623105854,0.14729140749831546,0.0547641141715521,0.1307948345353386
0.542368158611382,0.6505700405476466,0.8336814252233614,0.10716324954562834,0.10251275410130804,0.0666723724286378,0.10489173424886807,0.09341139121199539,0.08481982568711303,0.17181297750225225,0.09694300916951637,0.17177268610468063
0.4888371350337954,0.6479915500422295,0.7543881320704536,0.04019733255057135,0.050845910356325685,0.07835317003161713,0.09127069429331477,0.19061935611291214,0.15773594255838513,0.1929268557091607,0.08843191415869003,0.10961882422902297
0.6811749132676977,0.728344730401857,0.935236962436546,0.008312281929074388,0.17237738143091222,0.044384003483401185,0.2383486683346625,0.09235615102472686,0.04846369740951925,0.058310987008177294,0.06882140637227681,0.26862542300724945
0.5470045392547709,0.6730277462262163,0.8127518402055792,0.03198564294374876,0.06824358216278546,0.042096950982285185,0.15115935516172793,0.15442120393969713,0.2121112068890098,0.17145658131388627,0.09397407296623263,0.07455140364062679
0.7249627922029616,0.7414426414452435,0.9777732648203792,0.06363626576675945,0.07302092193977923,0.13650161644301695,0.24159106468937067,0.05685017329966055,0.07124092016756925,0.042389036115560476,0.27630004770080924,0.038469953877474226
0.5198062385978001,0.6153432293056852,0.8447419486264875,0.01986170449998553,0.1283954153777664,0.11458690765471786,0.07550124678546793,0.061112591902151014,0.19574977848932404,0.14864599987873184,0.06714985789203445,0.18899649751982103
0.6379268001755272,0.7028226516009778,0.9076639728705063,0.17703820071781232,0.06780081161528337,0.11039547963951155,0.20146864504087025,0.0634933030501614,0.14333334558185862,0.03815172641392004,0.15170484375824822,0.046613644182334386
0.47090448794707823,0.6363193137617165,0.7400443107144452,0.1705920050738703,0.035368140160787015,0.19761536876864258,0.11356302404729228,0.13349308149563288,0.061910000229759475,0.17244414650224307,0.023324567410929187,0.0916896663108432
0.6197835480786271,0.7713125626291054,0.8035439562478087,0.13869493863540552,0.03232094220739359,0.05063630190369746,0.257890911635145,0.22602592057853566,0.03152571553565359,0.12946237089784773,0.12549290760906456,0.007949990997256828
0.5309437231359942,0.6571408491552685,0.8079603083851868,0.09713477803162399,0.071237923647326,0.050061716362825165,0.05688443638694023,0.15731583400818078,0.12503676732619728,0.14570997345449194,0.19373105343036667,0.10288751735204797
0.4569233090712669,0.6678408625835691,0.6841799217011681,0.28365037696762274,0.02195422323965702,0.03039967980620839,0.09113285966927245,0.0698217610028913,0.13137290746909527,0.2821916909093482,0.04271567733239895,0.046760823603505634
0.5444969382010719,0.6453367829634583,0.8437407452596788,0.023364573385751163,0.036019719154366595,0.19235496493214843,0.16428632279164507,0.030922082016371363,0.19878247788369718,0.1567724728368282,0.037076211889067276,0.16042117511012463
0.6047936030854085,0.6788842846356006,0.8908640496959491,0.13293084439953334,0.12625881796425212,0.059452238410756364,0.13736554032880235,0.1444711050116533,0.042480402007364984,0.06753543255158215,0.15549555628228684,0.13401006304376878
0.5026876814562894,0.6177330709247388,0.8137619711759516,0.08161973497152389,0.19290756660968728,0.07552798379765178,0.04606921119981779,0.10163837294822414,0.12434345273738782,0.14531556847204866,0.05670266229621019,0.17587544696744845
0.5869810342742803,0.7018418035155303,0.836343790486814,0.09010361278263317,0.07858723139591074,0.11720533295797146,0.21702591447073802,0.17222129019628257,0.2125527055866564,0.020842141689849582,0.039462482444898125,0.05199928847505986
0.5161209622966353,0.6228338458003972,0.8286655675132324,0.09525754841335927,0.16354486184394754,0.1105173458847208,0.06539919069123802,0.15767258975315582,0.15987171828944277,0.03461371874172544,0.05776151468341725,0.15536151169899304
0.6181931485703963,0.7099423370291655,0.8707652950481808,0.05376039467279409,0.001367602149627048,0.0342605456745461,0.14697067980568837,0.14527095206247134,0.08019597389487965,0.13616975784485866,0.2391977533976423,0.16280634049749249
0.45323136070222647,0.6088624456674464,0.744390402015,0.09040883944963106,0.06511826297844514,0.19793093352010577,0.07539418609542893,0.1433709316775171,0.23694791354143188,0.13251469780768324,0.04580821869023393,0.012506016239522992
0.5855826689465872,0.6415802713922858,0.9127192575230237,0.05126555126748822,0.21553408889336761,0.0679895857932686,0.07982299540696172,0.026957505966362774,0.07617898108896479,0.24040727447583568,0.23124226133559778,0.010601755772152844
0.5551822415330481,0.6269107259272798,0.8855842125078713,0.08922308169688085,0.06335131797966355,0.19907682236596833,0.09896351587984246,0.08331589592386038,0.16587189505110747,0.06013563507078088,0.15964347765362602,0.08041835837827016
