coin,month,monthly_return
ADA,2020-01,0.6077769475354038
ADA,2020-02,-0.11622327171815228
ADA,2020-03,-0.357333668189714
ADA,2020-04,0.5660000840089343
ADA,2020-05,0.5539857592476498
ADA,2020-06,0.117871722596959
ADA,2020-07,0.6699311137746382
ADA,2020-08,-0.1160679240794209
ADA,2020-09,-0.1762682787081109
ADA,2020-10,-0.07921868798063525
ADA,2020-11,0.8409129395148764
ADA,2020-12,0.058893981838481047
ADA,2021-01,0.9013433199595848
ADA,2021-02,2.7925967453496363
ADA,2021-03,-0.08775978114598637
ADA,2021-04,0.133403044848742
ADA,2021-05,0.28860893605337545
ADA,2021-06,-0.20616853635228127
ADA,2021-07,-0.04418372682243432
ADA,2021-08,1.0966351184037983
ADA,2021-09,-0.23734140721804609
ADA,2021-10,-0.07066884106652416
ADA,2021-11,-0.2087112263270311
ADA,2021-12,-0.15736929553726142
ADA,2022-01,-0.196843459502148
ADA,2022-02,-0.08787862550477954
ADA,2022-03,0.18964119150665537
ADA,2022-04,-0.3373390934317746
ADA,2022-05,-0.17366586296839426
ADA,2022-06,-0.26613979133120813
ADA,2022-07,0.1267758513701056
ADA,2022-08,-0.13607790775263884
ADA,2022-09,-0.027427691843718183
ADA,2022-10,-0.06463417353187517
ADA,2022-11,-0.21522337585869322
ADA,2022-12,-0.227095848592767
ADA,2023-01,0.5861255099968563
ADA,2023-02,-0.09841247817767396
ADA,2023-03,0.13184416145783895
ADA,2023-04,-0.00393309693563193
ADA,2023-05,-0.05775959597353475
ADA,2023-06,-0.23356380065717397
ADA,2023-07,0.07155097404141864
ADA,2023-08,-0.16948627028514807
ADA,2023-09,-0.005192384176444298
ADA,2023-10,0.15375106033818486
ADA,2023-11,0.282449718806403
ADA,2023-12,0.5807739716258133
ADA,2024-01,-0.16147460965908011
ADA,2024-02,0.3158818537114474
ADA,2024-03,-0.007960152419357991
ADA,2024-04,-0.322272902803556
ADA,2024-05,0.015083567278806553
ADA,2024-06,-0.12351691387543817
ADA,2024-07,-0.008717698928097595
ADA,2024-08,-0.11168728507663783
ADA,2024-09,0.08067714351545519
ADA,2024-10,-0.08405097379346593
ADA,2024-11,2.156231400520383
ADA,2024-12,-0.2179699499084108
ADA,2025-01,0.11669594041492481
ADA,2025-02,-0.3281346717376077
ADA,2025-03,0.04485580368319586
ADA,2025-04,0.030966981967317286
ADA,2025-05,0.006076888968487459
ADA,2025-06,-0.1660943153033959
ADA,2025-07,0.2935374520320586
ADA,2025-08,0.09634495277359223
ADA,2025-09,-0.0051247471143721635
ADA,2025-10,-0.24533851243987503
ADA,2025-11,-0.3172867898560213
ADA,2025-12,-0.19970662392863758
ADA,2026-01,-0.11818044574451603
ADA,2026-02,-0.04048103937290559
ADA,2026-03,-0.040154057953329825
BNB,2020-01,0.33032865163294844
BNB,2020-02,0.07540021269825847
BNB,2020-03,-0.3575598790148212
BNB,2020-04,0.3538792838804903
BNB,2020-05,0.0003813806944124032
BNB,2020-06,-0.09547213126314058
